Ticker,SICCD,DlyCalDt,DlyCap,DlyRet,DlyClose,sprtrn
AAPL,3571,2012-01-03,383354363.22,0.015383,411.2300,0.015474
AAPL,3571,2012-01-04,385414556.16,0.005374,413.4400,0.000188
AAPL,3571,2012-01-05,389693418.42,0.011102,418.0300,0.002944
AAPL,3571,2012-01-06,393767193.60,0.010454,422.4000,-0.002537
AAPL,3571,2012-01-09,393142610.22,-0.001586,421.7300,0.002262
AAPL,3571,2012-01-10,394550253.36,0.003580,423.2400,0.008886
AAPL,3571,2012-01-11,393907025.70,-0.001630,422.5500,0.000310
AAPL,3571,2012-01-12,392825657.46,-0.002745,421.3900,0.002337
AAPL,3571,2012-01-13,391418249.70,-0.003749,419.8100,-0.004948
AAPL,3571,2012-01-17,395977539.00,0.011648,424.7000,0.003553
AAPL,3571,2012-01-18,400089290.70,0.010384,429.1100,0.011108
AAPL,3571,2012-01-19,398821267.50,-0.003169,427.7500,0.004939
AAPL,3571,2012-01-20,391875111.00,-0.017417,420.3000,0.000669
AAPL,3571,2012-01-23,398503329.33,0.016914,427.4090,0.000471
AAPL,3571,2012-01-24,391977671.70,-0.016375,420.4100,-0.001026
AAPL,3571,2012-01-25,416452384.20,0.062439,446.6600,0.008672
AAPL,3571,2012-01-26,414559673.10,-0.004545,444.6300,-0.005746
AAPL,3571,2012-01-27,417030453.60,0.005960,447.2800,-0.001593
AAPL,3571,2012-01-30,422372933.70,0.012811,453.0100,-0.002522
AAPL,3571,2012-01-31,425608257.60,0.007660,456.4800,-0.000457
AAPL,3571,2012-02-01,425337870.30,-0.000635,456.1900,0.008900
AAPL,3571,2012-02-02,424340234.40,-0.002346,455.1200,0.001095
AAPL,3571,2012-02-03,428591841.60,0.010019,459.6800,0.014605
AAPL,3571,2012-02-06,432591708.90,0.009333,463.9700,-0.000424
AAPL,3571,2012-02-07,437123027.10,0.010475,468.8300,0.002023
AAPL,3571,2012-02-08,444442131.60,0.016744,476.6800,0.002160
AAPL,3571,2012-02-09,459816912.90,0.034593,493.1700,0.001474
AAPL,3571,2012-02-10,460050005.40,0.000507,493.4200,-0.006886
AAPL,3571,2012-02-13,468609162.00,0.018605,502.6000,0.006800
AAPL,3571,2012-02-14,475005220.20,0.013649,509.4600,-0.000940
AAPL,3571,2012-02-15,464012577.90,-0.023142,497.6700,-0.005383
AAPL,3571,2012-02-16,468245537.70,0.009123,502.2100,0.011026
AAPL,3571,2012-02-17,468161624.40,-0.000179,502.1200,0.002349
AAPL,3571,2012-02-21,480030694.50,0.025353,514.8500,0.000720
AAPL,3571,2012-02-22,478343104.80,-0.003516,513.0400,-0.003340
AAPL,3571,2012-02-23,481466544.30,0.006530,516.3900,0.004272
AAPL,3571,2012-02-24,487079411.70,0.011658,522.4100,0.001672
AAPL,3571,2012-02-27,490202851.20,0.006413,525.7600,0.001355
AAPL,3571,2012-02-28,499200221.70,0.018354,535.4100,0.003356
AAPL,3571,2012-02-29,505754782.80,0.013130,542.4400,-0.004737
AAPL,3571,2012-03-01,507647493.90,0.003742,544.4700,0.006158
AAPL,3571,2012-03-02,508309476.60,0.001304,545.1800,-0.003246
AAPL,3571,2012-03-05,497102389.20,-0.022048,533.1600,-0.003870
AAPL,3571,2012-03-06,494398516.20,-0.005439,530.2600,-0.015370
AAPL,3571,2012-03-07,494799435.30,0.000811,530.6900,0.006901
AAPL,3571,2012-03-08,505335216.30,0.021293,541.9900,0.009818
AAPL,3571,2012-03-09,508300152.90,0.005867,545.1700,0.003631
AAPL,3571,2012-03-12,514668240.00,0.012528,552.0000,0.000160
AAPL,3571,2012-03-13,529679397.00,0.029167,568.1000,0.018132
AAPL,3571,2012-03-14,549706704.60,0.037810,589.5800,-0.001196
AAPL,3571,2012-03-15,545958577.20,-0.006818,585.5600,0.005967
AAPL,3571,2012-03-16,545967900.90,0.000017,585.5700,0.001119
AAPL,3571,2012-03-19,560447607.00,0.026521,601.1000,0.003974
AAPL,3571,2012-03-20,564978925.20,0.008085,605.9600,-0.003001
AAPL,3571,2012-03-21,561752925.00,-0.005710,602.5000,-0.001871
AAPL,3571,2012-03-22,558806635.80,-0.005245,599.3400,-0.007207
AAPL,3571,2012-03-23,555739138.50,-0.005489,596.0500,0.003109
AAPL,3571,2012-03-26,565929942.60,0.018337,606.9800,0.013886
AAPL,3571,2012-03-27,572922717.60,0.012356,614.4800,-0.002817
AAPL,3571,2012-03-28,575850359.40,0.005110,617.6200,-0.004942
AAPL,3571,2012-03-29,568615168.20,-0.012564,609.8600,-0.001608
AAPL,3571,2012-03-30,560568458.10,-0.016906,599.5500,0.003698
AAPL,3571,2012-04-02,578407914.66,0.031824,618.6300,0.007505
AAPL,3571,2012-04-03,588402872.24,0.017280,629.3200,-0.003989
AAPL,3571,2012-04-04,583718612.42,-0.007961,624.3100,-0.010202
AAPL,3571,2012-04-05,592479393.76,0.015009,633.6800,-0.000629
AAPL,3571,2012-04-09,594863597.86,0.004024,636.2300,-0.011358
AAPL,3571,2012-04-10,587580088.08,-0.012244,628.4400,-0.017081
AAPL,3571,2012-04-11,585485728.40,-0.003564,626.2000,0.007449
AAPL,3571,2012-04-12,582278740.14,-0.005477,622.7700,0.013779
AAPL,3571,2012-04-13,565927574.26,-0.028164,605.2300,-0.012475
AAPL,3571,2012-04-16,542457518.06,-0.041472,580.1300,-0.000504
AAPL,3571,2012-04-17,570107301.40,0.050971,609.7000,0.015487
AAPL,3571,2012-04-18,568835617.08,-0.002231,608.3400,-0.004055
